Date,00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00
23/08/2019,9.68,10.16,10.94,11.39,12.09,12.79,13.33,13.88,14.73,14.95,15.29,16.01,16.6,17.82,18.59,19.5,20.15,20.9,21.43,21.89,21.47,21.59,21.45,20.71,19.71,16.97,14.11,12.47,10.13,8.56,8.54,9.25,10.2,10.54,10.94,10.58,11.06,12.28,13.69,15.31,14.31,15.08,16.11,16.55,16.85,16.44,15.79,14.73,13.32,14.25,13.3,12.98,14.09,14.24,13.11,12.47,13.1,13.11,11.99,12.02,13.46,13.02,15.68,15.32,16.34,15.71,17.33,18.57,20.9,21.27,21.84,25.36,28.86,33.16,38.89,46.23,52.98,57.96,64.5,71.26,74.08,73.61,74.94,76.18,74.02,72.44,73.52,74.03,74.77,73.32,74.83,73.1,71.26,71.95,69.97,69.58
24/08/2019,67.94,67.52,64.48,64.78,65.75,65.07,63.39,63.69,64.37,65.39,65.53,66.95,67.96,69.39,70.63,70.64,70.01,72.63,75.39,76.92,76.24,74.74,71.04,63.7,54.93,47.31,41,34.24,28.82,24.16,21.85,21.47,22.1,23.7,26.89,30.94,36.91,42.59,46.84,49.03,52.12,52.22,52.88,51.23,54.44,56.72,57.56,58.78,60.4,61.18,63.55,61.43,63.98,64.62,65.6,65.66,64.07,66.03,66.5,67.12,66.35,64.64,66.25,66.95,67.72,65.64,64.02,61.44,58.3,52.78,52.34,52.56,56.76,63.56,72.21,81.34,92.91,98.31,105,112.49,112.78,116.68,115.85,116.95,119.86,118.01,116.79,114.3,110.81,109.76,106.55,102.31,99.04,96.57,94.75,91.73
25/08/2019,89.38,88.95,85.13,82.74,81.46,77.92,75.58,72.94,70.41,68.09,66.94,65.7,63.99,63.36,62.47,62.27,61.43,61.41,61.77,60.1,58.16,56.43,52.52,47.47,41.36,32.16,23.46,16.99,12.17,9.07,7.39,6.11,5.09,4.26,4.06,4.45,4.84,6.02,7.46,9.35,10.84,12.48,14.24,14.83,14.65,13.66,12.9,12.81,11.96,10.57,10.71,10.49,9.55,9.15,10.75,11.08,11.98,9.87,10.77,11.47,12.8,13.78,14.66,17.65,19.89,21.59,23.05,25.47,28.96,30.49,31.36,33.96,39.52,45.54,50.51,53.99,55.7,57.1,57.5,57.83,58.31,58.49,58.42,55.86,54.12,51.77,50.02,48.04,45.45,43.04,41.25,39.36,37.6,35.46,34,33.47
26/08/2019,33.71,31.84,32.75,33.33,32.02,30.97,29.97,28.47,25.92,24.79,24,22.97,21.96,21.55,21.91,21.89,22.08,23.14,23.63,23.02,22.04,21.1,21.2,20.08,18.4,17.26,14.14,11.74,9.11,7.72,6.39,6.1,6.51,7.44,9.12,11.06,14.17,18.1,21.36,25.33,25.78,25.5,24.58,23.94,24.21,24.35,24.56,24.49,24.58,23.99,24.59,25.54,24.65,23.03,24.83,25.41,26.37,28.98,29.8,28.55,28.98,32.17,32.26,32.99,32.77,34.23,35.08,36.94,36.51,38.15,43.29,47.5,52.26,55.04,60.39,66.49,71.72,75.54,78.52,80.64,80.58,81.49,81.6,81.26,78.41,75.28,71.72,69.34,67.46,65.91,64.29,62.16,57.53,58.15,55.76,54.34
27/08/2019,52.65,47.95,44.61,43.8,41,41.23,41.07,39.49,36.93,33.86,32.44,33.39,33.89,32.92,32.76,33.39,34.47,36.32,40.05,42.77,44.81,43.15,42.3,40.61,36.43,32.48,25.73,20.09,14.99,11.74,9.56,7.82,6.32,6.17,6.47,6.35,6.32,7.41,9,11.11,12.03,13.78,14.98,15.41,15.29,14.41,14.34,13.33,12.5,13.13,12.79,14.47,16.21,19.56,20.78,27.71,30.53,32.09,34.05,36.8,47.13,46.38,49.82,49.23,49.76,47.09,43.93,42.77,44.4,44.43,44.07,44.98,43.23,42.32,41.77,43.84,45.32,48.28,52.45,53.39,53.85,53.36,53.86,53.09,52.03,52.61,54.66,54.82,55.75,54.94,56,56.02,55.51,55.96,56.48,55.19
28/08/2019,53.12,49.72,47.85,47.76,47.25,46.06,44.58,44.37,44.46,45.39,44.77,44.75,44.06,44.55,42.8,40.03,39.5,38.99,39.27,36.82,34.32,32.9,31.01,29.67,28.77,26.36,24.12,21.01,17.6,15.02,13.22,12.09,11.73,10.6,9.9,9.6,9.64,9.41,9.98,10.39,11.57,11.62,11.83,13.5,14.61,16.33,19.51,22.37,27.36,33.2,33.97,37.41,43.59,43.69,41.57,42.37,41.91,46.3,45.99,54.2,52.43,51.49,60.54,62.42,69.69,70.86,59.14,50.57,48.31,47.47,43.21,38.43,36.86,36.28,41.92,52.31,59.7,55.38,49.31,47.53,48.39,50.42,40.96,36.59,32.65,36.84,33.25,28.07,25.99,28.14,32.39,26.91,22.78,20.54,17,12.47
29/08/2019,11.28,10.49,11.65,12.96,14.57,16.44,21.61,30.85,39.8,39.81,39.93,38.23,32.06,28.4,31.78,34.77,40.8,51.65,52,60.14,64.73,70.96,65.03,62.84,59.21,48.39,41.38,38.89,36.96,36.32,37.18,44.01,47.79,54.43,57.63,60.63,63.69,65.27,69.24,72.32,74.55,78.03,79.63,78.63,77.93,80.92,82.8,82.93,82.24,84.19,85.04,85.02,81.53,80.81,78.8,78.86,78.31,73.54,45.13,31.66,33.14,66.39,63.58,58.99,57.09,52.57,45.39,39.42,36.48,31.88,26.53,22.34,18.54,15.19,14.05,14.53,13.76,12.42,12.26,12.41,11.78,11.55,11.65,11.17,11.84,11.68,10.78,10,9.87,9.2,8.63,9.05,8.5,8.87,8.47,8.44
30/08/2019,8.47,8.45,9.19,9.7,9.5,8.83,9.13,9.29,8.85,8.3,8.42,8,7.71,8.88,9.6,9.55,9.27,9.29,9.44,9.96,9.67,9.64,9.82,10.14,9.47,8.62,6.88,5.63,5.41,5.9,6.4,7.78,9.03,10.6,11.98,13.89,14.81,15.63,17.3,18.16,18.98,19.67,19.66,19.54,19.96,19.41,21.24,20.99,20.84,21.53,21.73,21.79,21.98,21.55,21.2,21.01,21.06,18.35,18.05,15.67,15.27,14.42,13.13,10.81,10.17,8.19,6.51,5.29,4.69,4.31,3.48,3.47,3.6,3.91,4.49,5.53,5.94,7.4,8.19,8.6,8.94,9.61,9.24,8.86,8.75,9.78,10.27,10.76,12.49,13.97,14.15,14.32,14.95,15.51,15.66,15.99
31/08/2019,16.14,16.98,17.51,17.01,16.91,18.04,19.11,19.04,18.88,20.22,21.19,20.31,21.46,21.84,22.57,24.53,26.97,27.5,28.26,31.08,34.21,35.81,37.26,37.27,38.04,36.35,32.43,28.33,24.17,19.62,16.08,13.6,12.2,11.71,13.41,16.55,19.67,22.25,25.19,28.03,32.04,36.95,40.55,45.52,54.38,60.22,68.65,74.36,81.76,84.81,94.87,104.48,109.99,109.12,115.05,109.37,114.83,113.4,104.99,107.23,105.19,95.96,84.14,74.72,61.94,50.77,44.6,35,29.38,24.33,22.75,23.43,25.36,26.21,29.14,33.61,41.68,51.3,64.38,80.11,95.29,109.72,127.65,153.61,179.16,194.65,192.75,180.28,180.41,190.07,191.89,177.31,164.38,156.88,142.93,121.01
01/09/2019,100.52,85.97,77.25,68.23,62.82,59.17,53.25,52.71,59.4,64.38,71.11,78.22,80.3,83.82,86.55,87.43,85.14,88.95,94.33,97.2,92.83,90.53,91.58,94.54,94.59,92.61,92.27,96.95,101.16,103.59,105.19,107.83,108.6,108.26,103.49,107.28,107.89,107.45,107.01,104.78,108.86,119.75,121.89,129.65,139.36,142.81,141.86,142.51,140.79,142.5,150.07,148.42,149.43,143.5,145.17,141.98,142.1,135.97,131.14,120.36,114.69,106.63,99.73,94.31,89.6,84.99,87.93,90.48,75.8,62.84,56.77,51.68,48.76,47.55,50.37,50.92,50.11,46.99,44.1,45.13,49.78,52.75,55.75,61.81,62.26,59.02,60.17,59.17,59.42,60.98,60.13,62.93,66.79,69.24,73.78,78.42
02/09/2019,81.5,88.67,92.82,90.28,90.47,92.17,87.21,83.13,81.96,87.59,94.07,95.51,93.56,90.75,88.25,84.33,83.72,83.33,82.46,86.78,89.08,89.91,88.94,83.26,75.94,69.94,64.39,56.9,55.39,55.49,57.74,61.96,63.94,70.88,78.66,84.77,91.15,100.39,103.29,107.94,106.05,107.19,108.44,106.8,107.4,106.54,104.28,101.03,102.13,110.6,101.4,98.26,94.25,99.21,103.72,104.23,95.14,86.77,87.86,85.95,79.12,75.04,74.46,67.85,62.88,56.68,48.85,43.62,39.91,34.78,31.81,31.45,29.88,29.06,30.17,33,34,33.74,34.16,35.82,38.46,40.38,42.76,45.07,47.87,50.06,53.27,58.55,63.77,64.84,65.4,67.97,73.22,76.38,80.96,87.25
03/09/2019,90.85,94.27,97.15,99.13,103.89,102.2,101.85,102.92,104.54,108.37,112.1,115.05,117.7,118.97,119.82,122.65,131.89,137.83,138.54,139.49,143.16,147.09,146.77,146.58,151.98,152.07,152.43,153.96,151,143.97,144.38,147.22,149.43,155.43,159.42,167.88,180.69,183.41,189.18,195.21,199.91,203.39,201.8,200.1,199.79,208.43,205.72,207.08,204.53,210.91,210.19,203.25,205.12,206.79,202.78,194.41,192.15,192.61,190.1,183.06,172.94,166.24,158.77,146.82,132.72,122.57,113.7,99.46,89.63,87.59,80.97,73.4,67.63,60.25,58.71,57.15,55.3,55.84,54.96,54.33,55.23,55.36,54.05,51.92,53.07,55.77,53.54,50.48,48.32,47.77,46.8,45.62,44.14,44.94,47.89,48.23
04/09/2019,48.38,48.32,47.58,46.33,45.5,45.27,45.43,45.35,42.96,43.61,43.9,45.81,46.36,48.95,52.74,54.89,56.95,58.08,58.71,60.75,63.01,62.63,62.32,62.14,61.2,59.42,59.39,59.16,61.02,63.21,67.34,74.34,82.16,89,100.1,113.37,125.24,142.79,157.27,167.09,172.96,170.88,177.75,181.17,182.91,184.16,185.56,191.45,196.48,199.77,199.52,202.47,197.06,191.08,191.26,190.65,184.46,179.66,186.56,186.51,183.32,178.07,182.81,177.77,176.68,177.33,176.57,182.98,186.9,188.4,196.88,205.85,206.99,194.75,197.45,192,189.31,182.31,170.63,169.59,167.29,167.07,168.32,162.25,162.11,156.84,153.32,153.7,150.53,143.25,137.16,139.53,136.14,130.37,127.67,126.88
05/09/2019,119.91,113.88,112.03,109.9,113.09,115.66,119.07,123.43,126.87,128.62,136.31,138.85,144.72,152,158.24,165.13,173.99,178.68,190.2,198.41,208.47,210.15,217.24,220.79,227.71,237.65,248.51,266.41,288.51,305.11,309.92,302.91,312.81,320.17,322.8,323.18,329.47,337.28,330.58,315.52,317.33,325.54,323.98,317.26,316.92,316.15,314.16,320.83,309.21,332.02,331.18,332.48,346.1,342.86,339.04,331.48,338.54,325.62,329.71,324.27,310.32,309.38,292.92,283.02,265.77,258.72,236.76,226.07,217.49,202.57,187.45,182.34,182.28,174.89,174.07,164.38,150.79,154.12,142.57,133.1,123.42,117.2,112.28,112.12,104.52,101.8,107.64,115.63,116.77,112.1,112.54,117.51,116.48,117.74,123.32,125.26
06/09/2019,119.61,116.28,116.22,119.3,118.06,117.87,119.77,122.29,123.71,124.99,126.61,127.1,131.64,135.7,136.85,133.91,134.61,134.4,135.91,138.44,136.97,132.36,131.52,127.97,127.12,122.57,115.55,114.47,113.89,112.61,110.06,113.09,115.73,118.72,126.27,130.35,135.58,137.62,142.45,139.9,142.95,143.28,145.31,146.6,148.78,151.7,150.6,154.64,160.64,158.05,159.38,153.38,157.05,154.27,151.81,150.35,146.25,141.96,136.51,128.56,128.39,126.35,116.45,109.93,105.26,97.78,88.6,84.8,86.57,86.02,85.86,86.84,86.07,88.16,93.51,95.39,92.67,93.4,96.12,95.62,99.56,102.16,104.01,107.43,106.24,107.21,109.06,110.71,109.95,101.34,94.87,94.21,94.05,95.35,96.58,98.22
07/09/2019,95.85,93.18,88.43,82.99,77.5,75.2,72.76,73.27,75.18,72.19,69.27,68.19,64.99,62.7,60.68,58.77,54.12,51.85,49.8,48.56,45.52,41.2,39.22,37.94,35.74,32.57,30.85,29.12,26.08,23.96,22.67,23.48,22.52,22.67,21.97,22.44,23.06,24.07,25.63,27.98,29.12,31.04,32.89,33.58,32.49,31.92,33.31,33.2,32.24,33.34,32.49,32.6,32.42,32.09,31.02,26.67,25.65,24.62,23.02,21.83,19.96,19.58,20.27,18.78,17.24,15.62,14.22,13.28,13.66,10.16,8.16,8.78,7.79,7.83,10.51,10.43,10.85,11.31,11.89,12.48,18.42,21.05,21.97,16.68,16.2,13.73,12.48,13.33,15.52,16.2,15.31,16.31,15.16,14.4,12.57,11.13
08/09/2019,9.42,8.35,8.29,8.72,8.18,7.66,7.59,7.18,7.07,6.97,5.52,4.54,4.01,4.13,4.67,5.29,6.46,6.72,5.65,5.29,4.94,4.69,4.25,4.28,4.07,3.39,2.7,2.52,2.37,2.54,2.38,1.97,1.66,2,2.24,1.77,1.42,1.47,1.57,1.81,1.89,2.05,2.21,2.41,2.42,2.46,2.73,3.11,2.93,3.08,3.8,3.84,3.93,4.49,5.09,6.45,7.14,9.76,11.21,13.25,11.79,11.53,12.05,11.93,12.57,12.83,13.8,13.23,14.44,15.19,14.59,14.13,18.92,22.13,22.24,22.74,23.79,22.29,20.5,20.97,18.98,19.98,18.97,17.92,16.88,16.31,16.92,16.98,17.91,16.87,16.24,16.7,18.07,18.47,17.2,15.98
09/09/2019,14.99,14.98,15.4,14.89,14.39,14.1,14.88,15.85,16.34,15.79,15.05,15.28,15.21,16.02,16.66,18,20.32,21.73,22.35,24.44,26.31,24.69,26.01,28.45,29.71,31.12,30.47,29.26,27.74,26.1,26.17,26.11,26.35,26.84,27.73,29.42,31.69,35.15,35.52,35.82,37.78,38.98,40.24,42.07,44.15,47.47,52.4,49.47,47.55,49.05,49.36,49.14,51.6,53.94,56.13,55.54,61.17,66.08,65.82,64.29,62.3,62.43,63.66,63.55,61.13,59.42,59.11,56.37,54.07,51.84,49.91,48.37,48.53,47.86,47.14,46.3,43.18,43.43,43.24,44.17,45.09,45.5,46.7,47.88,48.09,48.82,51.1,55.98,62.33,68.26,71.6,77.24,83.74,87.01,90.57,91.84
10/09/2019,88.29,82.58,80.61,78.11,75.81,76.84,78.84,83.35,85.72,89.84,93.33,97.58,100.9,99.71,98.81,94.82,97.67,100.58,99.06,100.1,101.56,101.96,100.62,103.63,102.97,96.94,93.93,91.18,90.46,91.32,94.82,102.17,109.94,119.84,132.56,149.15,161.1,173.72,179.65,187.53,189.2,192.25,195.43,195.69,191.79,191.95,191.6,187.46,186.6,180.05,180.47,176.31,170.33,162.43,165.29,164.32,157.88,152.81,144.43,137.44,133.09,125.37,120.35,112.96,107.59,98.95,94.06,82.39,72.75,63.35,59.49,56.64,54.94,53.96,53.37,51.36,52.07,51.19,51.03,52.63,50.98,51.01,50.4,51.47,50.97,47.99,46.15,44.33,43.27,41.77,38.81,36.91,35.84,35.8,37.7,38.37
11/09/2019,40.5,42.31,43.41,44.42,47.12,50.49,53.71,56.68,58.09,59.8,59.76,59.17,60.59,64.14,66.48,68.13,70.8,74.4,80.14,84.75,87,88.85,90.64,91.88,93.66,91.21,87.71,85.26,85.2,85.69,86.83,89.77,95.5,103.56,115.86,127.92,142.13,157.84,177.26,192.77,202.88,221.6,238.5,247.69,258.59,269.66,275.31,275.94,285.33,287.39,288.88,289.09,292.23,298.38,294.36,295.31,291.61,300.37,298.81,292.14,295.82,295.7,293.39,296.93,300.74,296.41,283.03,278.88,281.94,282.46,284.09,274.99,271.34,268.95,260.64,256.51,260.3,252.79,246.76,235.95,221.93,209.87,196.94,188.16,183.49,178.27,170.06,164.51,156.34,151.14,135.91,127.21,122.04,118.42,116.44,112.85
12/09/2019,108.46,103.88,102.55,103.01,100.02,92.84,89.35,86.64,82.87,80.56,77.52,76.12,76.89,74.05,70.91,68.98,69.06,71.21,72.17,73,72.34,69.97,68.9,67.64,67.63,66.02,65.03,60.66,58.39,58.11,57.44,60.24,64.31,66.21,70.42,74.67,80.38,90.07,99.85,112.37,118.57,125.53,129.33,129.57,136.44,140.02,144.37,143.87,146.86,149.65,150.43,150.67,146.09,142.61,138.98,139.1,139.85,138.58,135.59,127.12,122.23,119.75,115.32,110.69,98.42,85.97,84.15,72.54,66.21,63.19,64.89,65.06,68.3,73.31,80.27,84.51,87.73,92.7,96.66,103.64,113.37,119.23,123.27,123.7,124.77,125.72,125.35,126.93,130.37,130.47,135.06,139.45,140.89,145.15,148.81,152.5
13/09/2019,159.5,163.1,164.71,169.15,172.11,172.82,172.07,177.41,179.51,178.82,175.83,174.31,173.25,171.2,170.7,173,180.55,186.78,185.63,182.71,181.34,177.75,178.74,174.84,168.03,157.87,147.04,135.84,134.24,132.45,134.29,136.73,139.46,144.37,150.71,159.48,164.25,167.39,166.33,171.64,175.61,173.55,179.4,181.58,177.96,178.35,173.31,169.58,162.81,157.43,157.97,153.45,148.97,152.47,145.59,145.8,143.13,138.93,135.35,134.94,131.54,115.49,109.03,103.34,95.09,85.56,73.3,62.63,58.65,57.07,59.15,58.64,58.54,57.59,58.93,60.67,63.06,62.55,61.11,55.93,50.52,50.55,51.79,47.61,46.75,47.19,46.37,48.09,48.86,49.48,49.59,48.75,47.21,47.16,45.66,40.31
14/09/2019,38.04,37.18,37.15,36.88,33.51,33.11,34.59,35.5,34.18,33.97,34.93,34.96,34.94,36.82,37.99,38.57,40.8,42.26,45.22,48.39,48.09,45.07,43.34,41.85,38.73,32.29,26.73,22.07,18.36,16.02,12.63,10.3,8.61,6.78,6.72,6.91,7.13,7.32,7.01,7.98,8.4,7.44,7.5,8.05,8.42,9.49,9.25,10.39,11.58,11.76,12.33,12.98,12.2,11.5,10.57,10.24,10.4,9.55,9.33,10.08,10.14,9.69,9.17,7.12,6.26,5.48,4.64,3.86,4.83,6.21,7.29,7.52,8.04,9.13,10.71,11.63,13.1,15.49,17.87,19.42,22.42,27.48,31.9,36.61,42.1,46.65,53.89,62.78,69.24,73.3,76.09,80.49,86.58,91.2,96.84,100.61
15/09/2019,106.4,112.57,120.59,124.93,126.83,130.98,141.53,144.46,146.66,153.7,153.52,152.27,152.43,153.83,160.49,164.29,166.54,169.98,177.95,186.39,187.14,189.5,193.36,189.85,186.9,185.98,187.05,185.11,176.72,172.1,167.61,173.44,176,180.35,184.24,188.98,197.3,207.77,218.84,224.07,231.61,230.3,236.83,231.64,229.09,226.75,232.02,233.71,235.54,236.71,239.68,244.57,253.81,256.27,259.7,253.97,252.36,252.62,247.22,252.48,247.38,240.82,242.88,234.71,218.23,203.57,184.51,167.51,156.51,151.09,143.17,139.41,142.61,136.41,127.36,121.19,117.88,113.59,109.29,107.32,102.02,99.59,94.6,88.13,83.54,79.6,74.28,70.08,66.57,67.29,67.18,66.71,66.34,64.92,60.39,57.2
16/09/2019,54.98,53.06,50.5,47.15,44.03,43.88,42.59,41.5,41.4,41.71,40.98,40.45,40.21,40.32,37.84,34.77,33.54,31.3,29.89,26.98,25.33,24.88,23.92,23.6,22.68,22.67,21.25,20.27,18.13,17.52,18.21,20.21,22.25,24.88,27.57,27.25,30.39,33.82,36.28,36.41,37.18,40.35,40.89,41.5,44.64,47.16,50.01,52.65,50.56,49.81,50.91,54.57,58.81,60.33,61.51,66.54,66.97,66.68,64.63,67.18,66.8,66.05,62.05,62.37,59.88,57.33,58.26,53.59,52.41,49.56,47.69,46.26,47.1,48.06,50.72,53.55,54.66,58.61,61.51,64.71,68.59,68.48,71.12,73.62,76.78,76.7,82.23,84.67,83.77,85.35,89.45,95.13,98.44,107.91,112.31,113.25
17/09/2019,110.81,111.08,110.33,107.21,109.47,109.29,110.11,115.09,117.8,120.84,122.03,125.18,126.97,132.11,133.08,136.52,145.73,152.88,154.97,155.83,157.34,161.04,159.58,150.69,145.77,151.04,158.48,156.31,162.14,178.43,196.26,202.47,210.66,242.8,263.48,287.98,307.17,329.81,354.71,358.54,363.81,380.38,387.17,405.84,419.45,429.84,442.92,452.55,465.81,469.81,468.57,475.52,476.59,471.33,473.21,475.58,458.33,465.34,470.14,465.33,470.18,464.17,461.99,453.81,450.8,432.53,400.89,386.1,357.88,352.31,339.22,325.03,314.77,304.13,296.27,285.34,271.41,266.38,263.35,265.15,266.34,275.07,272.96,267.62,257.45,260.16,246.77,232.35,226.18,227.31,220.66,216.79,218.87,210.98,202.75,195.48
