Date,00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00
23/08/2019,1.44,1.38,1.38,1.5,1.77,1.87,1.95,2.47,2.68,3.02,3.64,3.94,5.03,6.16,6.69,8.08,9.07,9.81,11.57,14.28,15.76,17.6,18.76,19.08,18.71,16.45,14.43,13.24,12.27,11.23,10.4,10.73,11.45,12.05,11.99,15.77,16.34,17.56,15.8,19.68,18.25,17.64,17.61,20.32,20.49,16.82,15.29,16.36,14.48,12.92,15.42,14.08,14.89,13.81,16.03,12.01,14.47,12.93,13.08,12.9,11.91,13.42,12.64,11.62,14.05,11.98,11.54,12.58,12.48,12.54,13.18,12.43,11.93,16.82,14.87,15.1,15.86,17.47,18.84,19.88,19.16,21.08,20.34,20.03,19.58,22.09,21.99,18.33,18.56,18.56,17.11,14.19,15.69,16.71,18.88,21.67
24/08/2019,22.43,22.25,22.03,23.34,24.81,22.9,22.77,19.49,22.58,23.15,22.01,21.81,21.44,20.24,19.19,19.96,19.21,18.89,15.21,17.01,16.06,16.36,15.49,14.23,13.52,11.64,10.65,9.56,6.19,4.38,3.47,2.32,1.64,1.36,0.86,0.86,0.57,0.66,0.69,0.56,0.54,0.86,1.01,0.97,0.49,0.69,1,0.82,0.91,1.44,1.21,1.83,1.61,1.8,1.36,1.43,1.5,0.9,1.14,1.62,2.03,1.85,2.12,2.36,1.27,2.03,2.32,2.27,1.63,1.45,1.95,3.45,3.89,2.8,3.37,3.72,3.99,4.51,4.38,3.9,2.92,2.61,3.32,3.24,2.79,2.45,1.67,1.35,1.34,0.97,1.41,1.5,1.3,1.23,1.15,1.01
25/08/2019,0.75,1.06,0.72,1,0.8,0.95,0.66,0.84,0.84,0.85,1.02,0.98,1.21,1.26,1.35,1.4,1.33,1.1,0.86,0.96,0.75,0.66,0.65,0.55,0.67,0.45,0.42,0.25,0.03,0,0.01,0.02,0.01,0.05,0.03,0.02,0.03,0.03,0.03,0.1,0.1,0.07,0.12,0.1,0.09,0.07,0.1,0.06,0.12,0.1,0.14,0.31,0.29,0.36,0.18,0.14,0.95,1.73,1.11,0.49,0.47,0.6,0.85,0.85,0.8,1.22,1.65,1.85,1.65,2.57,2.06,1.56,2.15,2.17,1.59,1.01,1.11,1.07,1.36,1.05,1.4,2.03,1.79,1.38,1.24,1.58,1.96,1.61,1.39,0.93,0.6,0.41,0.56,0.36,0.23,0.19
26/08/2019,0.56,0.85,0.56,0.4,0.46,0.39,0.34,0.19,0.28,0.25,0.27,0.46,0.37,0.38,0.67,0.65,0.78,0.96,0.75,0.81,1.03,0.96,1.14,0.64,0.83,0.68,0.81,1.28,1.23,1.12,0.84,0.75,0.52,0.23,0.11,0.11,0.16,0.25,0.27,0.33,0.3,0.45,0.53,0.64,0.95,1.13,1.58,2.01,1.05,1.64,1.45,1.09,0.94,1.02,0.75,0.97,0.85,1,0.55,0.54,0.72,1.36,1.45,1.06,1.04,1.16,0.97,1.58,1.29,0.82,1.82,9.58,7.36,7.67,6.74,7.36,6.66,5.21,4.47,3.69,3.28,3.38,3.66,2.86,3.46,4.32,5.1,5.25,5.47,4.1,4.89,4.27,3.16,2.75,1.66,1.39
27/08/2019,1.08,1.02,0.98,0.84,0.57,0.46,0.28,0.15,0.12,0.18,0.11,0.21,0.24,0.39,0.86,1.64,1.52,1.97,1.88,1.28,1.02,0.75,0.77,1.03,1,1,0.86,0.73,1.12,1.45,1.46,1.17,0.55,0.33,0.36,0.33,0.28,0.34,0.34,0.39,0.44,0.53,0.68,0.69,0.67,0.63,0.73,0.95,1.01,1.06,1.03,1.07,0.89,1.23,1.36,1.21,1.16,1.29,1.41,1.93,1.79,2.06,2.86,2.14,2.77,2.86,4.4,3.76,3.19,4.19,3.3,2.97,2.9,2.27,3.78,3.56,3.34,3.58,3.99,4.11,4.77,6.51,7.44,8.44,9.49,10.13,11.25,11.6,11.66,12.43,11.17,9.35,11.21,13.26,12.63,13.2
28/08/2019,10.6,10.3,9.6,8.22,9.88,9.95,9.81,10.64,11.58,14.84,15.2,14.92,15.33,15.4,15.68,14.03,12.72,14.61,14.27,12.14,14.14,15.81,16.7,15.21,12.67,10.9,13.19,10.18,9.06,6.14,4.74,6.71,7.73,7.4,7.08,7.22,4.93,4.82,4.05,3.16,3.48,4.09,3.45,2.43,3.28,2.46,1.71,0.94,0.71,0.77,0.8,0.95,1.08,0.87,0.78,0.51,0.73,0.53,1.08,0.84,0.79,1.49,1.03,1.34,1.5,1.36,1.75,1.63,1.97,1.16,1.34,1.42,1.52,1.4,1.14,0.88,0.79,0.83,0.85,1.36,1.64,2.12,2.56,2.49,2.56,3.15,2.93,3.06,3.59,3.69,4.55,4.93,5.16,5.78,6.07,7.03
29/08/2019,8.53,9.82,11.48,9.88,11.44,10.65,10.6,10.39,10.34,9.44,9.36,8.97,10.52,11.26,10.19,9.4,8.96,9.35,9.21,10.28,12.06,10.8,12.13,11.45,12.6,12.82,13.13,10.97,10.21,9.52,9.64,9.45,7.27,5.64,4.58,4.03,3.53,3.1,3.28,3.18,3.66,3.9,3.84,4.08,4.03,4.35,4.84,6.51,7.07,11.34,12.51,12,11.26,10.7,11.55,13.98,18.94,21.38,19.7,19.67,21.97,8.99,7.46,8.62,9.08,9.58,12.49,9.36,6.13,7.72,5.53,6.62,7.43,5.84,7.02,5.13,5.24,3.66,2.85,3.08,3.65,4.64,3.36,1.86,1.5,1.55,1.06,1.2,0.72,1.02,1.13,1.38,1.38,1.4,1.75,2.17
30/08/2019,3.63,3.19,3.4,4.15,4.89,5.31,4.33,3.33,2.88,2.53,2,1.8,1.78,1.78,1.37,0.62,0.71,0.66,0.78,0.62,0.88,0.67,0.56,0.55,0.53,0.59,0.49,0.49,0.27,0.19,0.17,0.14,0.08,0.13,0.13,0.12,0.64,0.5,0.33,0.23,0.18,0.1,0.25,0.08,0.45,0.36,0.58,0.66,0.95,1.36,1.77,0.99,1.08,2.08,2.91,2.12,2.03,1.25,1.42,2.93,2.06,1.45,1.25,0.79,0.69,1.06,1.07,1.23,1.2,0.88,0.86,1.21,1.48,2.61,3.23,4.79,5.73,5.17,5.85,6.66,8.06,7.77,8.13,8.19,9.07,8.62,8.69,8.91,7.21,7.1,9.08,8.95,9.48,9.12,8.28,7.09
31/08/2019,6.68,6.49,6.05,6.46,5.53,5.76,5.15,4.36,4.19,4.08,4.01,4.01,3.55,3.53,3.71,4.19,5.64,6.05,6.8,7.77,10.62,11.74,12.22,11.72,11.95,10.52,9.09,7.93,6.95,6.02,5.12,4.14,3.91,3.42,3.03,3.45,3.35,3.06,3.32,2.43,2.32,2.1,2.13,2.15,2.16,1.82,2.08,2.58,3.44,2.3,2.77,2.47,2.48,2.34,2.66,2.4,2.25,2.14,1.95,3.32,5.24,4.38,4.74,4.11,2.97,3.64,2.86,3.79,3.72,4.15,3.75,4.77,6.72,8.73,8.77,11.57,13.72,18.37,22.99,26.6,29.49,33.04,38.58,40.16,40.77,44.16,42.49,43.05,46.63,45.56,42.8,42.06,44.3,45,45.76,46.62
01/09/2019,51.53,55.23,49.09,52.78,49.55,43.1,39.47,50.62,58.96,56.14,48.58,47.73,39.72,33.6,31.36,28.36,29.19,42.92,49.45,50.28,56.42,54.43,52.3,52.58,47.99,46.55,39.94,31.94,29.2,29.53,24.2,23.21,23.75,23.23,21.2,26.64,26.66,24.8,25.77,26.63,25.66,24.57,24.9,26.41,28.73,29.35,32.36,32.01,28.03,30.99,28.31,29.1,27.09,26.36,24.82,27.58,29.19,32.67,27.32,25.64,25.95,26.8,25.27,26.65,23.39,23.34,23.7,24.47,23.39,22.71,17.47,16.46,15.31,13.25,13.2,15.64,17.99,18.59,19.56,17.12,16.49,17.6,19.45,18.15,18.88,15.28,15.8,14.12,12.08,11,10.21,9.34,9.62,8.97,8.06,7.86
