STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T01:00:00,21.9,46,34.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T02:00:00,21,46,34.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T03:00:00,21,46,33.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T04:00:00,21,45,33.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T05:00:00,21,45,33.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T06:00:00,21,45,33.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T07:00:00,21,45,33.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T08:00:00,21,45,33.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T09:00:00,21,46,34.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T10:00:00,21.9,46,34.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T11:00:00,23,46.9,36
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T12:00:00,24.1,48,37
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T13:00:00,26.1,48.9,37.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T14:00:00,27,50,38.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T15:00:00,26.1,51.1,38.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T16:00:00,26.1,50,38.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T17:00:00,26.1,48.9,37.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T18:00:00,25,48,37.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T19:00:00,25,48,36.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T20:00:00,24.1,48,36.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T21:00:00,23,48,35.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-01T22:00:00,23,46.9,35.4
